a,ln,ln/h,s,f'c,Dl,fyl,Dt,fyt,a/d,s/d,nu,rho_l,rho_t,rholfyl/fc,rhotfyt/fc,tau/fc,s/Dl,Vp/Vn,Ag/Ao,DS1,DS2,DS3,DS4,Vy,Vu,DS4/DS2
500,500,2.5,35,86,13,399,6,792,2.798768542,0.195913798,0.629076818,0.038003061,0.016156762,0.177048503,0.149242386,0.085092298,2.755905512,0.215977727,0.666666667,0.002890603,0.005781206,0.0251,0.054663984,207.71,241.92,9.455464166
500,500,2.5,35,116,13,399,6,328,2.798768542,0.195913798,0.253941984,0.038003061,0.016156762,0.131028124,0.045780227,0.037952492,2.755905512,0.63162972,0.666666667,0.002623232,0.005246465,0.0106,0.058051692,117.02,236.43,11.06491623
500,500,2.5,35,116,13,399,6,792,2.798768542,0.195913798,0.253941984,0.038003061,0.016156762,0.131028124,0.110449676,0.058170587,2.755905512,0.355911468,0.666666667,0.005382126,0.010764253,0.0207,0.082548769,225.44,245.26,7.668787701
500,500,2.5,35,116,13,399,6,328,2.798768542,0.195913798,0.423020704,0.038003061,0.016156762,0.131028124,0.045780227,0.046264098,2.755905512,0.541105981,0.666666667,0.002540242,0.005080483,0.01008,0.02789015,214.68,265.67,5.489664814
500,500,2.5,35,116,13,399,6,792,2.798768542,0.195913798,0.423020704,0.038003061,0.016156762,0.131028124,0.110449676,0.064083677,2.755905512,0.31904412,0.666666667,0.003195579,0.006391158,0.02104,0.060445225,266.86,275.2,9.457633331
500,1000,4,60,99,13,379,5,773,2.323960028,0.278875203,0.349986692,0.024321959,0.005235988,0.092564339,0.040695421,0.057700884,4.724409448,0.654041584,1.041666667,0.00518755,0.0103751,0.02058,0.038625586,314.46,370.61,3.722911967
500,1000,4,40,99,13,379,5,773,2.323960028,0.185916802,0.349986692,0.024321959,0.007853982,0.092564339,0.061043131,0.064899057,3.1496063,0.540810842,1.041666667,0.005400359,0.010800717,0.041028,,335.15,385.81,
800,800,2.67,250,33,16,380,6,396,3.07698225,0.961556953,0.03076553,0.026808257,0.000753982,0.312880086,0.009181744,0.025620654,15.62304712,1.806117742,1.499999999,0.002625513,0.005251025,0.00990625,0.015788088,92.55,107.79,3.006667745
500,1000,4,60,99,13,379,5,344,2.329373399,0.279524808,0.349986692,0.024321959,0.006335545,0.092564339,0.021885091,0.050450762,4.724409448,0.811657909,1.041666667,0.005089807,0.010179613,0.02265,0.038094793,295.72,385.21,3.742263262
500,1000,4,60,99,13,379,5,1125,2.323960028,0.278875203,0.349986692,0.024321959,0.005235988,0.092564339,0.059202899,0.051958965,4.724409448,0.549413153,1.041666667,0.005217282,0.010434564,0.02013,0.06395037,315.47,367.43,6.128705789
500,1000,4,30,99,13,379,5,773,2.323960028,0.139437602,0.349986692,0.024321959,0.010471976,0.092564339,0.081390842,0.077856368,2.362204724,0.46100031,1.041666667,0.005128123,0.010256246,0.02001,0.030173095,328.35,386.98,2.941923967
500,1000,4,60,99,13,379,5,856,2.345825322,0.281499039,0.349986692,0.024321959,0.005235988,0.092564339,0.0450594,0.060884342,4.724409448,0.627954023,1.041666667,0.00515155,0.010303101,0.0216,0.034081281,318.69,375.6,3.307866461
500,1000,4,30,99,13,339,5,773,2.438979061,0.146326354,0.349952679,0.01814254,0.005238825,0.061759494,0.040717471,0.058328155,2.362,0.662896618,1.041768336,0.002482177,0.004964353,0.01003002,0.027762068,169.46,342.37,5.592282714
1676,1676,5.5,76,29,22,367,9,363,6.637561614,0.300975757,0.098652504,0.016339708,0.006115484,0.205895279,0.076220798,0.068987133,3.454400001,0.256376355,1.5504492,0.003362959,0.006725918,0.024968472,,51.11,60.24,
1676,1676,5.5,127,31,22,367,9,363,6.637623762,0.502970297,0.093512344,0.0163454,0.003659852,0.195232567,0.043237522,0.047934129,5.772727275,0.377849715,1.550416668,0.003116443,0.006232886,0.017942124,,46.87,61.06,
1676,1676,5.5,76,29,22,367,9,363,6.637623762,0.300990099,0.098316061,0.0163454,0.006115805,0.205261637,0.075963755,0.075979392,3.454545455,0.256470149,1.550416668,0.003742748,0.007485495,0.018671241,,50.24,57.17,
1676,1676,5.5,127,28,22,429,9,363,6.637623762,0.502970297,0.104015543,0.0163454,0.003659852,0.253847439,0.04809391,0.0558685,5.772727275,0.414376485,1.550416668,0.002683234,0.005366467,0.011420644,,29.25,49.07,
1676,1676,5.5,76,29,22,429,9,392,6.637623762,0.300990099,0.195294488,0.0163454,0.006115805,0.238305759,0.081474441,0.084073384,3.454545455,0.310661789,1.550416668,0.003547431,0.007094863,0.017451074,,61.29,70.56,
175,350,2,110,26,22,388,6,312,1.168199344,0.734296731,0.100111034,0.030821581,0.002937593,0.459560097,0.035221017,0.125615739,5.000000001,1.332610066,0.510416667,0.001183099,0.002366199,0.003992,,40.14,64.1,
1676,1676,5.5,127,32,22,429,9,392,6.637623762,0.502970297,0.180555281,0.0163454,0.003659852,0.220320418,0.045076636,0.055045273,5.772727275,0.454140478,1.550416668,0.004146308,0.008292616,0.018352625,,65.83,74.91,
1676,1676,5.5,76,33,22,363,9,392,6.637623762,0.300990099,0.258633241,0.0163454,0.006115805,0.178027448,0.071932389,0.071350524,3.454545455,0.3288754,1.550416668,0.00280851,0.005617021,0.012130072,0.019661985,48.59,78.86,3.500429393
1676,1676,5.5,127,32,22,363,9,392,6.637623762,0.502970297,0.265817498,0.0163454,0.003659852,0.182972655,0.044241883,0.048355329,5.772727275,0.466530533,1.550416668,0.00290677,0.00581354,0.012100835,0.024371746,57.5,76.93,4.192238333
1676,1676,5.5,76,31,22,363,9,373,6.637623762,0.300990099,0.277822159,0.0163454,0.006115805,0.191235936,0.073524112,0.076330767,3.454545455,0.337126923,1.550416668,0.00327347,0.006546941,0.013850835,0.019882993,66.72,71.8,3.036989979
1676,1676,5.5,127,32,22,363,9,373,6.637623762,0.502970297,0.270832922,0.0163454,0.003659852,0.186424969,0.042891799,0.052700855,5.772727275,0.480140796,1.550416668,0.004250786,0.008501572,0.019244033,0.025603361,69.41,78.09,3.011603092
1372,1372,3,102,39,25,439,13,454,3.486658196,0.259212198,0.205947959,0.019409525,0.009277789,0.216628653,0.107087016,0.062057926,4.015748031,0.365884221,3.480816665,0.003590188,0.007180377,0.024389213,0.046842258,413.18,444.62,6.523649098
1372,1372,3,102,40,25,439,9,615,3.486658196,0.259212198,0.310455939,0.019409525,0.005191397,0.213907188,0.080280655,0.061193566,4.015748031,0.466028291,3.480816665,0.002677397,0.005354793,0.011634111,0.028048349,365.97,483.08,5.237989078
1000,1000,2.86,150,44,25,430,10,470,3.280839895,0.492125984,0,0.033091101,0.002991993,0.326078531,0.032225596,0.038274551,5.905511811,0.956156253,2.041666667,0.007932752,0.015865504,0.0468,0.069259259,215.51,260.19,4.365399178
1000,1000,2.86,75,35,25,430,10,470,3.280839895,0.246062992,0.140776984,0.033091101,0.005983986,0.408535171,0.080749196,0.072824843,2.952755906,0.631366354,2.041666667,0.003947531,0.007895062,0.0205,0.053770571,139.38,250.89,6.810658229
1000,1000,2.86,50,32,25,438,10,470,3.280839895,0.164041995,0.15309497,0.033091101,0.008975979,0.45254771,0.131722126,0.105235619,1.968503937,0.469373879,2.041666667,0.006025445,0.01205089,0.0464,0.094793293,232.45,310.99,7.866082373
175,350,2,110,33,25,344,6,312,1.168199344,0.734296731,0.100107286,0.030821581,0.002937593,0.323962413,0.028004478,0.083453895,4.330708661,1.191129553,0.510416667,0.00085817,0.00171634,0.00382,0.009215023,40.35,79.89,5.368996726
1000,1000,2.86,65,37,25,437,6,425,3.279763857,0.213184651,0.131341529,0.033091101,0.008484372,0.387358281,0.096589256,0.044812424,2.559055118,0.539398839,2.041666667,0.00619876,0.012397519,0.0672,,270.48,318.79,
1000,1000,2.86,65,39,25,437,6,425,3.279763857,0.213184651,0.125616385,0.033091101,0.008484372,0.370473433,0.092378956,0.046484368,2.559055118,0.542841643,2.041666667,0.007086726,0.014173451,0.0662,,291.19,316.79,
1140,1140,4.56,150,80,10,430,8,430,5.506993865,0.724662577,0.200024571,0.015101101,0.005362287,0.081099113,0.028797683,0.02752193,14.98984772,0.502279817,1.041768336,0.004519659,0.009039319,0.018263113,0.025387106,38.65,78.08,2.808519836
1140,1140,4.56,150,80,10,430,8,430,5.506993865,0.724662577,0.200024571,0.015101101,0.005362287,0.081099113,0.028797683,0.027214628,14.98984772,0.502279817,1.041768336,0.003492859,0.006985717,0.014114,0.020596467,51.2,103.45,2.948368201
1140,1140,4.56,100,80,10,430,8,430,5.506993865,0.483067485,0.200024571,0.015101101,0.008044111,0.081099113,0.043200179,0.030614082,9.992385787,0.389464809,1.041768336,0.00268097,0.00536194,0.010833307,0.020145965,66.73,134.81,3.757215881
1140,1140,4.56,100,80,10,430,8,430,5.507246377,0.483091787,0.300066141,0.015079645,0.008042477,0.080983885,0.043191404,0.034260334,10.00000001,0.415355384,1.041666667,0.003673046,0.007346093,0.014842105,0.025190524,55.81,112.76,3.429105181
1140,1140,4.56,100,80,10,430,8,430,5.507246377,0.483091787,0.300066141,0.015079645,0.008042477,0.080983885,0.043191404,0.035567776,10.00000001,0.415355384,1.041666667,0.003330055,0.00666011,0.01345614,0.019812602,55.09,111.31,2.974816101
1140,1140,4.56,100,80,10,430,8,430,5.507246377,0.483091787,0.200044094,0.015079645,0.008042477,0.080983885,0.043191404,0.030933264,10.00000001,0.38939769,1.041666667,0.004024721,0.008049442,0.016263158,0.029261946,45.8,92.54,3.635276449
825,1650,3.3,100,27,22,318,9,336,1.862302483,0.225733634,0.072405029,0.02660929,0.003180863,0.311975248,0.039404332,0.083180997,4.546198469,1.019148296,3.333333334,0.001744196,0.003488391,0.010287515,,247.64,445.76,
175,350,2,20,41,13,344,6,322,1.168199344,0.133508497,0.100115958,0.069397068,0.002937593,0.574751999,0.022773429,0.14497724,1.537893701,1.185934083,0.510416667,0.002534645,0.005069289,0.013916,0.02551023,85.76,160.19,5.032309285
1140,1140,4.56,50,80,10,430,8,430,5.507246377,0.241545894,0.200044094,0.015079645,0.016084954,0.080983885,0.086382807,0.044839323,5.000000005,0.232662259,1.041666667,0.003868421,0.007736842,0.015631579,0.03158519,40.61,82.06,4.082439584
1140,1140,4.56,50,80,10,430,8,430,5.507246377,0.241545894,0.300066141,0.015079645,0.016156762,0.080983885,0.086768446,0.04121148,5.000000005,0.253823626,1.041666667,0.002906743,0.005813486,0.011745614,0.032354802,58.48,118.15,5.565473739
1140,1140,4.56,50,80,10,430,8,430,5.507246377,0.241545894,0.200044094,0.015079645,0.016084954,0.080983885,0.086382807,0.045681869,5.000000005,0.232662259,1.041666667,0.003757709,0.007515417,0.015184211,0.029092417,56.14,113.43,3.871031467
